Zimbabwe       Moyo
Zambia Mohammed
Zambia	Phiri
Yemen	Mohamed
Vietnam	Nguyen
Venezuela	Gonzalez
Vatican City	Bachmanna
Vanuatu	Tari
Uzbekistan	Kim
Uruguay	Rodriguez
United States	Smith
United Kingdom	Smith
United Arab Emirates	Ali
Ukraine	Melnik
Uganda	Akello
Tuvalu	Apinelu
Turkmenistan	Mamedova
Turkey	Yilmaz
Tunisia	Trabels
Tonga	Latu
Togo	Lawson
Timor-Leste	Soares
Thailand	Saetang
Tanzania	Juma
Taiwan	Chen
Syria	Khaled
Switzerland	Muller
Sweden	Andersson
Suriname	Lin
Sudan	Ahmed
Sri Lanka	Perara
Spain	Garcia
South Sudan	Deng
South Africa	Nkosi
Somalia	Ali
Solomon Islands	Mae
Slovenia	Novak
Slovakia	Varga
Singapore	Tan
Sierra Leone	Kamara
Seychelles	Hoareau
Serbia	Jovanovic
Senegal	Ndiaye
Saudi Arabia	Khan
Sao Tome and Principe	Fernandes
San Marino	Gasperoni
Saint Vincent and the Grenadines	Williams
Saint Lucia	Joseph
Saint Kitts and Nevis	Williams
Rwanda	Uwiman
Russia	Ivanova
Romania	Popa
Republic of the Congo	Ngoma
Qatar	Khan
Portugal	Silva
Poland	Nowak
Philippines	Dela Cruz
Peru	Quispe
Paraguay	Gonzalez
Papua New Guinea	John
Panama	Rodriguez
Palestine	Awad
Palau	Tellei
Pakistan	Khan
Oman	Al Balushi
Norway	Hansen
North Macedonia	Stojanovski
North Korea	Kim
Nigeria	Ibrahim
Niger	Abdou
Nicaragua	Lopez
New Zealand	Smith
Netherlands	De Jong
Nepal	Caudhari
Nauru	Harris
Namibia	Johannes
Myanmar	Maung
Mozambique	Langa
Morocco	Alaoui
Montenegro	Popovic
Mongolia	Ganbold
Monaco	Rossi
Moldova	Rusu
Micronesia	Mori
Mexico	Hernandez
Mauritius	Beeharry
Mauritania	Ba
Marshall Islands	John
Malta	Borg
Mali	Traore
Maldives	Mohamed
Malaysia	Tan
Malawi	Banda
Madagascar	Rakotomalala
Luxembourg	Schmit
Lithuania	Kazlauskas
Liechtenstein	Buchel
Libya	Ali
Liberia	Kollie
Lesotho	Mohapi
Lebanon	El Din
Latvia	Berzins
Laos	Inthavong
Kyrgyzstan	Ismailova
Kuwait	Ali
Kiribati	Ioane
Kenya	Mwangi
Kazakhstan	Kim
Jordan	Allah
Japan	Sato
Jamaica	Brown
Ivory Coast	Kone
Italy	Rossi
Israel	Cohen
Ireland	Murphy
Iraq	Mohamed
Iran	Mohammadi
Indonesia	Sari
India	Devi
Iceland	Jonsdottir
Hungary	Nagy
Honduras	Hernandez
Haiti	Jean
Guyana	Persaud
Guinea-Bissau	Gomes
Guinea	Diallo
Guatemala	Lopez
Grenada	Charles
Greece	Papadopolous
Ghana	Mensah
Germany	Muller
Georgia	Beridze
Gambia	Jallow
Gabon	Ndong
France	Martin
Finland	Korhonen
Fiji	Kumar
Ethiopia	Tesfaye
Eswatini	Dlamini
Estonia	Tamm
Eritrea	Ali
Equatorial Guinea	Nguema
El Salvador	Hernandez
Egypt	Mohamed
Ecuador	Garcia
DR Congo	Ilunga
Dominican Republic	Rodriguez
Dominica	Joseph
Djibouti	Muhamed
Denmark	Jensen
Czechia	Novakova
Cyprus	Georgiou
Cuba	Rodriguez
Croatia	Horvat
Costa Rica	Rodriguez
Colombia	Rodriguez
China	Wang
Chile	Gonzalez
Chad	Mahamat
Central African Republic	Moussa
Cape Verde	Lopes
Canada	Smith
Cameroon	Ngo
Cambodia	Sok
Burundi	Nkurunziza
Bulgaria	Ivanov
Brunei	Haji
Brazil	Da Silva
Botswana	Molefe
Bosnia and Herzegovina	Hodzic
Bolivia	Mamani
Bhutan	Dorji
Benin	Bio
Belize	Martinez
Belgium	Peeters
Belarus	Ivanov
Barbados	Clarke
Bangladesh	Akter
Bahrain	Ali
Bahamas	Rolle
Azerbaijan	Mammadova
Austria	Gruber
Australia	Smith
Armenia	Grigoryan
Argentina	Gonzalez
Antigua and Barbuda	Joseph
Angola	Manuel
Andorra	Garcia
Algeria	Saidi
Albania	Hoxha
Afghanistan	Muhammadi
