0,"2009-01-23","2009-01-27",5168
1,"2019-05-02","2019-07-27",5379
2,"2005-06-04","2005-07-19",9804
3,"2003-02-04","2003-04-17",89
4,"2011-02-01","2011-04-15",3024
5,"2004-09-23","2004-11-11",4957
6,"2002-08-16","2002-11-09",1384
7,"2018-06-07","2018-08-15",6341
8,"2024-09-04","2024-11-15",4822
9,"2012-12-14","2013-02-23",4419
10,"2011-08-17","2011-10-17",1263
11,"2009-09-16","2009-10-20",5197
12,"2017-08-13","2017-10-26",7955
13,"2018-05-06","2018-06-18",2791
14,"2002-12-02","2003-02-13",1202
15,"2009-02-14","2009-04-08",6488
16,"2003-12-24","2004-02-26",8600
17,"2002-03-01","2002-04-19",3443
18,"2000-06-23","2000-08-10",4761
19,"2004-10-01","2004-12-18",7113
20,"2008-08-06","2008-09-15",4171
21,"2008-05-17","2008-07-16",5419
22,"2018-07-22","2018-09-11",6539
23,"2022-09-21","2022-10-17",5847
24,"2000-12-05","2000-12-31",3865
25,"2002-09-15","2002-11-06",5229
26,"2003-07-10","2003-09-29",4837
27,"2002-12-16","2003-02-10",8150
28,"2000-04-04","2000-06-24",6068
29,"2009-03-21","2009-05-18",7381
30,"2013-05-18","2013-06-21",4967
31,"2010-05-11","2010-05-25",1406
32,"2014-10-01","2014-11-09",8705
33,"2006-06-06","2006-09-01",9730
34,"2015-06-20","2015-08-20",4516
35,"2021-01-01","2021-02-19",1467
36,"2008-08-13","2008-10-11",5398
37,"2011-06-22","2011-08-21",3113
38,"2023-11-13","2023-11-23",6138
39,"2020-04-01","2020-06-06",3868
40,"2022-12-03","2023-01-19",1531
41,"2005-12-09","2006-01-08",630
42,"2022-03-19","2022-03-27",1005
43,"2008-03-09","2008-04-24",8357
44,"2003-11-17","2003-12-05",3542
45,"2011-12-17","2012-02-19",3324
46,"2025-11-08","2026-01-17",4003
47,"2022-12-09","2023-01-27",2877
48,"2012-10-05","2012-10-16",6883
49,"2008-08-02","2008-09-11",8637
50,"2008-05-09","2008-05-25",7269
51,"2007-02-19","2007-04-28",8193
52,"2007-09-17","2007-12-13",7951
53,"2025-02-12","2025-04-21",4849
54,"2009-07-15","2009-09-28",3836
55,"2025-04-13","2025-07-08",7705
56,"2002-12-24","2003-03-06",897
57,"2013-12-06","2014-02-02",2167
58,"2022-08-07","2022-10-08",9306
59,"2002-04-12","2002-05-08",2454
60,"2019-03-13","2019-06-04",7035
61,"2005-02-12","2005-03-18",8088
62,"2012-03-17","2012-04-20",940
63,"2018-03-07","2018-03-19",2879
64,"2007-05-21","2007-06-25",9673
65,"2000-04-16","2000-06-24",5234
66,"2022-06-24","2022-06-29",2095
67,"2004-07-19","2004-09-20",5866
68,"2022-10-09","2022-12-14",1584
69,"2020-03-09","2020-05-19",5563
70,"2013-08-08","2013-11-05",322
71,"2008-08-11","2008-09-14",3108
72,"2005-03-08","2005-05-17",8798
73,"2015-04-09","2015-05-23",5903
74,"2015-10-11","2015-11-10",2143
75,"2002-12-03","2003-01-11",3332
76,"2019-11-03","2020-01-05",1730
77,"2025-06-12","2025-06-14",3678
78,"2008-03-08","2008-04-18",6341
79,"2012-11-11","2012-12-26",7983
80,"2016-07-17","2016-09-21",908
81,"2007-10-13","2007-10-20",5452
82,"2009-05-23","2009-07-08",4042
83,"2015-03-09","2015-03-27",6497
84,"2016-10-23","2016-11-14",5371
85,"2017-04-24","2017-06-23",8590
86,"2012-09-09","2012-09-24",1153
87,"2011-10-13","2011-11-20",1531
88,"2017-05-23","2017-07-21",8203
89,"2020-11-09","2020-12-20",5297
90,"2021-10-01","2021-11-01",8787
91,"2012-07-22","2012-09-15",5801
92,"2015-06-23","2015-07-06",2293
93,"2022-08-03","2022-10-01",4948
94,"2025-06-09","2025-08-22",5796
95,"2022-11-03","2022-11-20",9081
96,"2022-10-03","2022-11-06",7496
97,"2019-06-22","2019-09-06",1146
98,"2005-05-09","2005-05-20",2620
99,"2007-09-03","2007-12-01",2836
100,"2009-06-07","2009-08-11",4927
101,"2006-01-23","2006-04-19",4755
102,"2025-02-12","2025-04-03",4319
103,"2023-03-08","2023-03-11",4592
104,"2004-05-20","2004-05-22",982
105,"2021-05-06","2021-07-16",5383
106,"2000-07-21","2000-09-04",4028
107,"2006-12-11","2007-01-08",8416
108,"2013-08-09","2013-09-20",4020
109,"2022-05-03","2022-06-02",9152
110,"2020-03-04","2020-04-09",5133
111,"2023-06-12","2023-08-21",7034
112,"2012-09-21","2012-11-12",3329
113,"2001-08-01","2001-08-21",6763
114,"2017-07-17","2017-10-11",8804
115,"2011-10-21","2011-11-15",1101
116,"2006-04-19","2006-06-09",5472
117,"2012-08-05","2012-10-20",1536
118,"2006-10-11","2006-10-17",7102
119,"2010-06-22","2010-08-29",4405
120,"2002-08-24","2002-10-04",526
121,"2008-12-03","2009-01-03",3654
122,"2012-01-23","2012-02-09",7185
123,"2010-06-16","2010-09-06",1727
124,"2025-04-03","2025-04-11",8965
125,"2009-02-22","2009-04-09",3960
126,"2008-04-11","2008-05-26",4726
127,"2004-10-13","2004-12-15",3279
128,"2018-07-20","2018-08-02",560
129,"2022-04-03","2022-05-18",4622
130,"2014-12-08","2015-02-08",4629
131,"2017-05-09","2017-05-10",3079
132,"2021-08-22","2021-09-30",7565
133,"2014-02-12","2014-05-09",5107
134,"2007-01-09","2007-03-14",8698
135,"2022-01-04","2022-02-22",6730
136,"2016-10-03","2016-11-03",770
137,"2005-05-18","2005-07-26",6929
138,"2023-02-24","2023-03-13",6720
139,"2020-11-03","2021-01-09",90
140,"2004-10-14","2004-11-15",5159
141,"2025-11-19","2026-01-16",5084
142,"2004-11-01","2005-01-15",9600
143,"2011-05-11","2011-06-28",4133
144,"2007-04-20","2007-04-29",6704
145,"2007-03-10","2007-05-24",3725
146,"2010-05-15","2010-05-19",4240
147,"2014-01-09","2014-02-04",872
148,"2021-05-20","2021-07-18",1341
149,"2009-10-05","2009-10-27",3665
150,"2008-10-03","2008-11-29",8061
151,"2011-04-13","2011-05-14",8240
152,"2019-11-22","2020-01-20",3748
153,"2006-05-02","2006-05-28",7151
154,"2017-12-17","2018-01-11",6359
155,"2000-07-14","2000-08-30",3079
156,"2020-06-11","2020-08-16",2221
157,"2025-12-19","2025-12-27",2458
158,"2011-02-08","2011-05-04",1790
159,"2020-04-11","2020-06-26",3337
160,"2017-05-24","2017-06-23",4340
161,"2014-01-15","2014-01-23",8135
162,"2012-06-19","2012-07-31",2578
163,"2006-11-04","2006-12-11",5540
164,"2007-12-18","2008-03-15",8408
165,"2006-08-22","2006-10-31",9274
166,"2006-08-12","2006-08-21",2538
167,"2018-08-20","2018-09-19",3829
168,"2009-02-22","2009-04-11",3793
169,"2007-02-07","2007-02-21",3506
170,"2024-10-04","2024-11-23",415
171,"2003-08-07","2003-08-27",3108
172,"2008-03-18","2008-03-21",7023
173,"2000-04-09","2000-06-07",5879
174,"2008-08-08","2008-10-15",5986
175,"2020-03-10","2020-04-25",5266
176,"2001-11-24","2002-01-30",8280
177,"2007-10-02","2007-11-22",3108
178,"2007-03-24","2007-05-12",9871
179,"2025-01-07","2025-01-30",2210
180,"2021-06-20","2021-09-13",3087
181,"2010-11-16","2011-02-08",1848
182,"2023-03-08","2023-04-24",1769
183,"2018-06-08","2018-08-04",5496
184,"2006-03-07","2006-03-16",8141
185,"2012-10-08","2012-10-22",8831
186,"2003-09-17","2003-10-15",8362
187,"2018-12-20","2019-02-16",2489
188,"2000-10-01","2000-11-12",1322
189,"2022-12-05","2023-03-03",380
190,"2024-08-23","2024-09-17",9421
191,"2006-07-17","2006-07-27",8171
192,"2012-12-01","2013-01-08",8336
193,"2015-12-17","2016-02-04",5284
194,"2005-03-05","2005-03-08",4217
195,"2023-05-19","2023-07-14",3804
196,"2008-04-06","2008-06-16",7010
197,"2024-08-01","2024-10-10",2042
198,"2016-10-12","2016-12-28",8813
199,"2007-02-23","2007-04-26",6156
200,"2022-03-19","2022-06-09",2755
201,"2003-10-04","2003-11-14",4657
202,"2022-11-16","2022-12-21",5310
203,"2021-05-01","2021-07-27",8233
204,"2025-07-13","2025-09-12",3791
205,"2000-01-24","2000-02-03",5222
206,"2003-02-21","2003-04-17",630
207,"2025-09-06","2025-09-20",9789
208,"2006-12-08","2007-02-14",6035
209,"2022-06-15","2022-07-07",9672
210,"2022-12-24","2023-02-06",2177
211,"2022-12-16","2023-01-30",257
212,"2018-10-08","2018-10-23",7526
213,"2018-04-05","2018-07-02",9187
214,"2021-05-23","2021-08-19",3686
215,"2009-08-14","2009-11-09",6521
216,"2007-12-08","2008-01-02",1345
217,"2013-07-18","2013-08-23",4827
218,"2011-01-21","2011-02-21",7027
219,"2013-08-06","2013-08-26",7955
220,"2010-11-01","2010-12-10",7583
221,"2024-06-11","2024-08-22",735
222,"2007-03-17","2007-04-07",9603
223,"2012-11-04","2012-12-18",5706
224,"2016-10-08","2016-12-29",5712
225,"2004-04-01","2004-06-26",936
226,"2013-09-14","2013-12-10",3200
227,"2021-01-03","2021-03-13",8989
